SE,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,umidmed,tempmed,casprov
202401,2023-12-31,1.0,1,1,8293,1,0,79.7070142857143,21.7827714285714,0.0
202352,2023-12-24,0.0,0,1,8293,0,0,76.1937,22.3897,0.0
202351,2023-12-17,0.0,0,1,8293,0,0,79.7242166666667,25.8604,0.0
202350,2023-12-10,0.0,0,1,8293,0,0,77.4471571428571,24.4456428571429,0.0
202349,2023-12-03,0.0,0,1,8293,0,0,85.1045,20.6834166666667,0.0
202348,2023-11-26,0.0,0,1,8293,0,0,81.3682714285714,23.0915285714286,0.0
202347,2023-11-19,0.0,0,1,8293,0,0,74.5186142857143,20.3299571428571,0.0
202346,2023-11-12,0.0,0,1,8293,0,0,93.5294714285714,20.8383571428571,0.0
202345,2023-11-05,0.0,0,1,8293,0,0,76.3635285714286,20.7443,0.0
202344,2023-10-29,0.0,0,1,8293,0,0,85.5696428571429,19.2549428571429,0.0
202343,2023-10-22,0.0,0,1,8293,0,0,82.5173285714286,19.8588857142857,0.0
202342,2023-10-15,0.0,0,1,8293,0,0,82.9811,17.9168571428571,0.0
202341,2023-10-08,0.0,0,1,8293,0,0,85.2962285714286,16.1628142857143,0.0
202340,2023-10-01,0.0,0,1,8293,0,0,84.0471428571429,16.0314142857143,0.0
202339,2023-09-24,0.0,0,1,8293,0,0,90.8423857142857,16.4210571428571,0.0
202338,2023-09-17,0.0,0,1,8293,0,0,84.3787142857143,21.5037571428571,0.0
202337,2023-09-10,0.0,0,1,8293,0,0,80.8315857142857,16.7496571428571,0.0
202336,2023-09-03,0.0,0,1,8293,0,0,88.7203,16.7745285714286,0.0
202335,2023-08-27,0.0,0,1,8293,0,0,77.1483857142857,13.7744714285714,0.0
202334,2023-08-20,0.0,0,1,8293,0,0,78.2497285714286,15.4004,0.0
202333,2023-08-13,1.0,1,1,8293,0,0,73.6636571428571,15.8254285714286,1.0
202332,2023-08-06,0.0,0,1,8293,0,0,81.0740142857143,17.0021285714286,0.0
202331,2023-07-30,0.0,0,1,8293,0,0,84.7493714285714,16.9826142857143,0.0
202330,2023-07-23,0.0,0,1,8293,0,0,83.0631142857143,15.8333571428571,0.0
202329,2023-07-16,0.0,0,1,8293,0,0,80.0319428571429,13.0947142857143,0.0
202328,2023-07-09,0.0,0,1,8293,0,0,91.0425857142857,13.1937285714286,0.0
202327,2023-07-02,0.0,0,1,8293,0,0,87.1124857142857,16.0673714285714,0.0
202326,2023-06-25,0.0,0,1,8293,0,0,80.1720857142857,17.0431714285714,0.0
202325,2023-06-18,0.0,0,1,8293,0,0,85.4820571428571,14.0953714285714,0.0
202324,2023-06-11,0.0,0,1,8293,0,0,89.0385,11.4190285714286,0.0
202323,2023-06-04,0.0,0,1,8293,0,0,79.0905428571429,18.0510857142857,0.0
202322,2023-05-28,0.0,0,1,8293,0,0,89.12533525,14.3125,
202321,2023-05-21,0.0,0,1,8293,0,0,84.225142173913,19.7236839130435,
202320,2023-05-14,4.0,4,1,8293,0,0,83.0109277894737,15.7503611578947,
202319,2023-05-07,4.0,4,1,8293,0,0,89.818026,16.3157894,
202318,2023-04-30,5.0,5,1,8293,1,0,93.022592375,19.375,
202317,2023-04-23,3.0,3,1,8293,0,0,76.8502429230769,20.3552633076923,
202316,2023-04-16,6.0,6,1,8293,0,0,71.8078585714286,18.8571424285714,
202315,2023-04-09,4.0,4,1,8293,1,0,71.9851208571429,22.962406,
202314,2023-04-02,4.0,4,1,8293,0,0,72.4154744285714,21.6165415714286,
202313,2023-03-26,2.0,2,2,8293,1,0,76.9286836521739,21.4980931304348,
202312,2023-03-19,2.0,2,2,8293,1,0,77.116741,25.6030701666667,
202311,2023-03-12,3.0,3,1,8293,1,0,87.24508125,24.35416675,
202310,2023-03-05,1.0,1,1,8293,1,0,89.755615,23.904762,
202309,2023-02-26,0.0,0,1,8293,0,0,84.6427567058823,22.9411764705882,
202308,2023-02-19,1.0,1,2,8293,1,0,77.6589684545455,22.4114831818182,
202307,2023-02-12,2.0,2,1,8293,1,0,84.5537757777778,23.1111111111111,
202306,2023-02-05,1.0,1,1,8293,1,0,74.8175768571429,24.7142857142857,
202305,2023-01-29,0.0,0,1,5771,0,0,80.9038507142857,25.5864661428571,
202304,2023-01-22,1.0,1,1,5771,1,0,81.1892472857143,24.8571428571429,
202303,2023-01-15,0.0,0,1,5771,0,0,79.86877,24.4285714285714,
202302,2023-01-08,0.0,0,1,5771,0,0,66.4495465714286,25.819549,
202301,2023-01-01,1.0,1,1,5771,1,0,65.3131172857143,25.691729,
