SE,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,umidmed,tempmed,casprov
202401,2023-12-31,2.0,2,2,66878,1,0,79.5666428571429,22.0455285714286,0.0
202352,2023-12-24,3.0,3,2,66878,1,0,75.5418,22.7096285714286,2.0
202351,2023-12-17,2.0,2,2,66878,1,0,80.3604166666667,25.9247833333333,1.0
202350,2023-12-10,2.0,2,2,66878,1,0,77.2633428571429,24.6374,0.0
202349,2023-12-03,2.0,2,1,66878,1,0,84.8908333333333,20.8000833333333,1.0
202348,2023-11-26,4.0,4,1,66878,1,0,81.1900571428571,23.3514142857143,0.0
202347,2023-11-19,5.0,5,1,66878,0,0,74.0035285714286,20.5748,1.0
202346,2023-11-12,0.0,0,1,66878,0,0,93.2912428571429,20.8931285714286,0.0
202345,2023-11-05,0.0,0,1,66878,0,0,75.8586142857143,20.9312,0.0
202344,2023-10-29,0.0,0,1,66878,0,0,85.2990857142857,19.4351714285714,0.0
202343,2023-10-22,0.0,0,1,66878,0,0,82.4033,20.0138714285714,0.0
202342,2023-10-15,0.0,0,1,66878,0,0,83.1336285714286,17.9685,0.0
202341,2023-10-08,1.0,1,1,66878,0,0,84.6207428571429,16.3816571428571,0.0
202340,2023-10-01,0.0,0,1,66878,0,0,83.5152,16.0919857142857,0.0
202339,2023-09-24,0.0,0,1,66878,0,0,90.5808571428571,16.4592571428571,0.0
202338,2023-09-17,0.0,0,1,66878,0,0,83.7885571428571,21.6883,0.0
202337,2023-09-10,0.0,0,1,66878,0,0,80.0076285714286,16.7953285714286,0.0
202336,2023-09-03,0.0,0,1,66878,0,0,88.9408428571429,16.8059857142857,0.0
202335,2023-08-27,0.0,0,1,66878,0,0,76.6575428571429,14.0368428571429,0.0
202334,2023-08-20,2.0,2,1,66878,0,0,77.7125285714286,15.5661142857143,0.0
202333,2023-08-13,0.0,0,1,66878,0,0,72.5399857142857,16.1008714285714,0.0
202332,2023-08-06,0.0,0,1,66878,0,0,80.7733,17.1820571428571,0.0
202331,2023-07-30,0.0,0,1,66878,0,0,84.4143285714286,17.2313857142857,0.0
202330,2023-07-23,0.0,0,1,66878,0,0,83.0691285714286,15.8922428571429,0.0
202329,2023-07-16,1.0,1,1,66878,0,0,79.7807857142857,13.2145714285714,1.0
202328,2023-07-09,1.0,1,1,66878,0,0,91.0330428571429,13.2059571428571,1.0
202327,2023-07-02,0.0,0,1,66878,0,0,86.6009857142857,16.3350857142857,0.0
202326,2023-06-25,1.0,1,1,66878,0,0,79.8915142857143,17.2366,1.0
202325,2023-06-18,0.0,0,1,66878,0,0,85.5806714285714,14.2385,0.0
202324,2023-06-11,1.0,1,1,66878,0,0,88.0743285714286,11.4751285714286,0.0
202323,2023-06-04,0.0,0,1,66878,0,0,78.0751428571429,18.4942428571429,0.0
202322,2023-05-28,3.0,3,1,66878,0,0,89.12533525,14.3125,
202321,2023-05-21,4.0,4,1,66878,0,0,84.225142173913,19.7236839130435,
202320,2023-05-14,1.0,1,1,66878,0,0,83.0109277894737,15.7503611578947,
202319,2023-05-07,10.0,10,1,66878,0,0,89.818026,16.3157894,
202318,2023-04-30,13.0,13,1,66878,1,0,93.022592375,19.375,
202317,2023-04-23,10.0,10,1,66878,0,0,76.8502429230769,20.3552633076923,
202316,2023-04-16,15.0,15,1,66878,0,1,71.8078585714286,18.8571424285714,
202315,2023-04-09,5.0,5,1,66878,1,0,71.9851208571429,22.962406,
202314,2023-04-02,2.0,2,1,66878,0,0,72.4154744285714,21.6165415714286,
202313,2023-03-26,4.0,4,2,66878,1,0,76.9286836521739,21.4980931304348,
202312,2023-03-19,7.0,7,2,66878,1,0,77.116741,25.6030701666667,
202311,2023-03-12,6.0,6,2,66878,1,0,87.24508125,24.35416675,
202310,2023-03-05,11.0,11,2,66878,1,1,89.755615,23.904762,
202309,2023-02-26,4.0,4,1,66878,1,0,84.6427567058823,22.9411764705882,
202308,2023-02-19,2.0,2,1,66878,1,0,77.6589684545455,22.4114831818182,
202307,2023-02-12,0.0,0,1,66878,0,0,84.5537757777778,23.1111111111111,
202306,2023-02-05,1.0,1,2,66878,1,0,74.8175768571429,24.7142857142857,
202305,2023-01-29,3.0,3,2,65721,1,0,80.9038507142857,25.5864661428571,
202304,2023-01-22,1.0,1,2,65721,1,0,81.1892472857143,24.8571428571429,
202303,2023-01-15,1.0,1,2,65721,1,0,79.86877,24.4285714285714,
202302,2023-01-08,3.0,3,1,65721,1,0,66.4495465714286,25.819549,
202301,2023-01-01,1.0,1,1,65721,1,0,65.3131172857143,25.691729,
